epoch,accuracy,loss,val_accuracy,val_loss
1,0.8129500150680542,0.6010966300964355,0.9358999729156494,0.20955346524715424
2,0.9089333415031433,0.3019263744354248,0.9555000066757202,0.1507599800825119
3,0.9304666519165039,0.2327651083469391,0.9606999754905701,0.13680638372898102
4,0.9450666904449463,0.18344490230083466,0.9733999967575073,0.091081403195858
5,0.9549833536148071,0.15417815744876862,0.9768999814987183,0.07682481408119202
6,0.9605666399002075,0.13254575431346893,0.9797999858856201,0.06534378975629807
7,0.964983344078064,0.11806144565343857,0.9811000227928162,0.058589741587638855
8,0.9685666561126709,0.10618015378713608,0.9832000136375427,0.05318193882703781
9,0.9710999727249146,0.09605393558740616,0.9842000007629395,0.04837627708911896
10,0.9742666482925415,0.08738759160041809,0.9840999841690063,0.048059381544589996
11,0.9745333194732666,0.0842643454670906,0.9854999780654907,0.043760742992162704
12,0.9758166670799255,0.07819584757089615,0.9857000112533569,0.04242536053061485
13,0.9773666858673096,0.07493425160646439,0.9864000082015991,0.0439140684902668
14,0.9783999919891357,0.07093960791826248,0.9860000014305115,0.04052971675992012
15,0.9784166812896729,0.06954892724752426,0.9869999885559082,0.03682898357510567
