epoch,accuracy,loss,val_accuracy,val_loss
1,0.8111000061035156,0.611931324005127,0.9368000030517578,0.20925432443618774
2,0.9093999862670898,0.3006319999694824,0.9534000158309937,0.16017954051494598
3,0.9278666377067566,0.24311091005802155,0.9639999866485596,0.11896242946386337
4,0.9409666657447815,0.19905780255794525,0.9713000059127808,0.09768912941217422
5,0.9492499828338623,0.16872219741344452,0.9739999771118164,0.08142702281475067
6,0.9580833315849304,0.14175429940223694,0.9800999760627747,0.06764045357704163
7,0.9631500244140625,0.12411148101091385,0.9800999760627747,0.062164440751075745
8,0.966949999332428,0.11016537249088287,0.982699990272522,0.05572541430592537
9,0.9690666794776917,0.10259110480546951,0.982699990272522,0.054479919373989105
10,0.9721666574478149,0.09368384629487991,0.9846000075340271,0.04898826777935028
11,0.9743000268936157,0.08699879795312881,0.9853000044822693,0.04568049684166908
12,0.9751999974250793,0.0814916118979454,0.9851999878883362,0.04486934840679169
13,0.977066695690155,0.07642194628715515,0.9861999750137329,0.04087790474295616
14,0.9782500267028809,0.07188330590724945,0.9876000285148621,0.03920833021402359
