epoch,accuracy,loss,val_accuracy,val_loss
0,0.8186833262443542,0.5831664204597473,0.932699978351593,0.2236507087945938
1,0.9110000133514404,0.2981523871421814,0.9563000202178955,0.14668811857700348
2,0.9308000206947327,0.23058852553367615,0.965399980545044,0.10943719744682312
3,0.9460499882698059,0.18379727005958557,0.973800003528595,0.08511283993721008
4,0.9564499855041504,0.1477162390947342,0.9768999814987183,0.07135827094316483
5,0.961983323097229,0.12628649175167084,0.9811000227928162,0.05954068526625633
6,0.9669833183288574,0.10985663533210754,0.9832000136375427,0.05067748203873634
7,0.9694499969482422,0.10091924667358398,0.9847000241279602,0.0468672439455986
8,0.971833348274231,0.09131120890378952,0.9847999811172485,0.046456895768642426
9,0.9739833474159241,0.08570011705160141,0.9855999946594238,0.04375235736370087
10,0.9761166572570801,0.07883888483047485,0.9864000082015991,0.04085177183151245
