epoch,accuracy,loss,val_accuracy,val_loss
1,0.8059499859809875,0.6165332198143005,0.934499979019165,0.2130112498998642
2,0.9089833498001099,0.2992417514324188,0.954800009727478,0.15382370352745056
3,0.9312166571617126,0.22879084944725037,0.9674000144004822,0.10942419618368149
4,0.9459499716758728,0.18034560978412628,0.9715999960899353,0.0903545692563057
5,0.9553333520889282,0.14991888403892517,0.9775999784469604,0.06939239799976349
6,0.9607333540916443,0.12837427854537964,0.9794999957084656,0.06328162550926208
7,0.9670166373252869,0.11296743154525757,0.9811000227928162,0.05730334296822548
8,0.9692500233650208,0.10391706228256226,0.9786999821662903,0.06507325917482376
9,0.9715499877929688,0.09391070157289505,0.9833999872207642,0.050946447998285294
10,0.9733333587646484,0.08885236829519272,0.9855999946594238,0.04609762132167816
11,0.9747999906539917,0.08352938294410706,0.9854999780654907,0.04560396820306778
12,0.9758666753768921,0.07778313755989075,0.9855999946594238,0.04350715130567551
