epoch,accuracy,loss,val_accuracy,val_loss
1,0.8178666830062866,0.5815730690956116,0.9348000288009644,0.21519339084625244
2,0.9084166884422302,0.3018381893634796,0.9513999819755554,0.1570882797241211
3,0.9284499883651733,0.23789827525615692,0.9645000100135803,0.11821883916854858
4,0.9418833255767822,0.19424967467784882,0.9710999727249146,0.0955033004283905
5,0.9513499736785889,0.16139379143714905,0.9753000140190125,0.07997305691242218
6,0.958899974822998,0.138187438249588,0.9782999753952026,0.06834026426076889
7,0.963783323764801,0.12040196359157562,0.9817000031471252,0.05847354605793953
8,0.9675333499908447,0.10953985154628754,0.9825999736785889,0.05284031480550766
9,0.970216691493988,0.10015575587749481,0.9843999743461609,0.04758021980524063
10,0.9722333550453186,0.09147670865058899,0.984000027179718,0.04698023200035095
11,0.974049985408783,0.08538780361413956,0.9843000173568726,0.043664541095495224
12,0.9755833148956299,0.0795116201043129,0.986299991607666,0.04043534770607948
13,0.9773833155632019,0.07621195167303085,0.9868999719619751,0.03959865868091583
