epoch,accuracy,loss,val_accuracy,val_loss
0,0.8139500021934509,0.5913810133934021,0.9366000294685364,0.21229106187820435
1,0.9039499759674072,0.3221796751022339,0.9470999836921692,0.17270731925964355
2,0.9218000173568726,0.2588386535644531,0.9591000080108643,0.13277742266654968
3,0.9354666471481323,0.21656017005443573,0.9678999781608582,0.10210765153169632
4,0.9462166428565979,0.1776563972234726,0.972100019454956,0.08606453984975815
5,0.9567833542823792,0.14795425534248352,0.9765999913215637,0.07127165049314499
6,0.9608500003814697,0.12903812527656555,0.9787999987602234,0.06207819655537605
7,0.9663000106811523,0.11483655124902725,0.9828000068664551,0.05443649739027023
8,0.9695500135421753,0.10117597877979279,0.9829999804496765,0.05149417743086815
9,0.970716655254364,0.0980411097407341,0.9847999811172485,0.04795435816049576
