epoch;accuracy;loss;val_accuracy;val_loss
0;0.8129000067710876;0.5995686054229736;0.9352999925613403;0.22058676183223724
1;0.9078666567802429;0.3059314489364624;0.955299973487854;0.16217027604579926
2;0.9294000267982483;0.23448306322097778;0.9592999815940857;0.1285650134086609
3;0.9439833164215088;0.1894601732492447;0.9724000096321106;0.09608122706413269
4;0.9539333581924438;0.15432651340961456;0.9765999913215637;0.07596773654222488
