,precision,recall,f1-score,support
-1.0,0.889937106918239,0.9464882943143813,0.9173419773095625,598.0
1.0,0.9245283018867925,0.8484848484848485,0.8848758465011286,462.0
accuracy,0.9037735849056604,0.9037735849056604,0.9037735849056604,0.9037735849056604
macro avg,0.9072327044025157,0.897486571399615,0.9011089119053455,1060.0
weighted avg,0.9050136466120803,0.9037735849056604,0.9031916448251319,1060.0
