,precision,recall,f1-score,support
-1.0,0.8918032786885246,0.9444444444444444,0.9173693086003373,576.0
1.0,0.9288888888888889,0.8636363636363636,0.8950749464668093,484.0
accuracy,0.9075471698113208,0.9075471698113208,0.9075471698113208,0.9075471698113208
macro avg,0.9103460837887067,0.904040404040404,0.9062221275335733,1060.0
weighted avg,0.9087367082517098,0.9075471698113208,0.9071896187205001,1060.0
