,precision,recall,f1-score,support
-1.0,0.4013961605584642,0.39451114922813035,0.397923875432526,583.0
1.0,0.2751540041067762,0.2809224318658281,0.2780082987551868,477.0
accuracy,0.3433962264150943,0.3433962264150943,0.3433962264150943,0.3433962264150943
macro avg,0.3382750823326202,0.33771679054697923,0.3379660870938564,1060.0
weighted avg,0.3445871901552046,0.3433962264150943,0.3439618659277234,1060.0
