,precision,recall,f1-score,support
-1.0,0.6205673758865248,0.9114583333333334,0.7383966244725739,576.0
1.0,0.7616822429906542,0.3367768595041322,0.4670487106017192,484.0
accuracy,0.6490566037735849,0.6490566037735849,0.6490566037735849,0.6490566037735849
macro avg,0.6911248094385896,0.6241175964187328,0.6027226675371465,1060.0
weighted avg,0.6850009567152028,0.6490566037735849,0.6144981430447497,1060.0
