,precision,recall,f1-score,support
-1.0,0.39933993399339934,0.4194107452339688,0.40912933220625525,577.0
1.0,0.2621145374449339,0.2463768115942029,0.25400213447171827,483.0
accuracy,0.34056603773584904,0.34056603773584904,0.34056603773584904,0.34056603773584904
macro avg,0.3307272357191666,0.33289377841408585,0.33156573333898676,1060.0
weighted avg,0.3368117580189571,0.34056603773584904,0.3384440147479709,1060.0
