,precision,recall,f1-score,support
-1.0,0.9010067114093959,0.895,0.8979933110367893,600.0
1.0,0.8642241379310345,0.8717391304347826,0.8679653679653679,460.0
accuracy,0.8849056603773585,0.8849056603773585,0.8849056603773585,0.8849056603773585
macro avg,0.8826154246702151,0.8833695652173913,0.8829793395010785,1060.0
weighted avg,0.8850444625414279,0.8849056603773585,0.8849623168737196,1060.0
